#bioname	bioname_parent	base	acid	base_parent	acid_parent	inconsistency	null	null	base_n	acid_n	base_parent_n	acid_parent_n	type_n
2-deoxy-D-gluconate	a monocarboxylate	CHEBI:57653	CHEBI:16138	CHEBI:35757	CHEBI:25384	left_incomplete	$null$	$null$	2-deoxy-D-gluconate	2-deoxy-D-gluconic acid	monocarboxylic acid anion	monocarboxylic acid	$null$
gibberellin A14 aldehyde	a monocarboxylate	CHEBI:143960	CHEBI:29589	CHEBI:35757	CHEBI:25384	left_incomplete	$null$	$null$	gibberellin A14 aldehyde(1-)	gibberellin A14 aldehyde	monocarboxylic acid anion	monocarboxylic acid	$null$
a 2,3-dehydroacyl-CoA	a fatty acyl-CoA	CHEBI:60015	CHEBI:15469	CHEBI:77636	CHEBI:37554	left_incomplete	$null$	$null$	2,3-dehydroacyl-CoA(4-)	alk-2-enoyl-CoA	fatty acyl-CoA(4-)	fatty acyl-CoA	$null$
beta-D-glucosyl-(1->4)-N-acetyl-D-glucosaminyl undecaprenyl diphosphate	a polyprenol phosphate	CHEBI:59985	CHEBI:15696	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	beta-D-glucosyl-(1->4)-N-acetyl-D-glucosaminyl undecaprenyl diphosphate(2-)	beta-D-glucosyl-(1->4)-N-acetyl-D-glucosaminyl undecaprenyl diphosphate	polyprenol phosphate anion	polyprenol phosphate	$null$
(E)-hept-2-enoate	a medium chain fatty acid	CHEBI:143913	CHEBI:38364	CHEBI:59558	CHEBI:59554	left_incomplete	$null$	$null$	(E)-hept-2-enoate	(E)-hept-2-enoic acid	medium-chain fatty acid anion	medium-chain fatty acid	$null$
20-hydroxy-8,9-epoxy-(5Z,11Z,14Z)-eicosatrienoate	a long-chain fatty acid	CHEBI:137474	CHEBI:138272	CHEBI:57560	CHEBI:15904	left_incomplete	$null$	$null$	8,9-epoxy-20-hydroxy-(5Z,11Z,14Z)-icosatrienoate	8,9-epoxy-20-hydroxy-(5Z,11Z,14Z)-icosatrienoic acid	long-chain fatty acid anion	long-chain fatty acid	$null$
3',5'-cyclic GMP	a nucleoside 3',5'-cyclic phosphate	CHEBI:57746	CHEBI:16356	CHEBI:58464	CHEBI:18375	left_incomplete	$null$	$null$	3',5'-cyclic GMP(1-)	3',5'-cyclic GMP	nucleoside 3',5'-cyclic phosphate anion	nucleoside 3',5'-cyclic phosphate	$null$
20-hydroxy-8,9-epoxy-(5Z,11Z,14Z)-eicosatrienoate	a hydroxy-epoxy-eicosatetraenoate	CHEBI:137474	CHEBI:138272	CHEBI:137328	CHEBI:138138	left_incomplete	$null$	$null$	8,9-epoxy-20-hydroxy-(5Z,11Z,14Z)-icosatrienoate	8,9-epoxy-20-hydroxy-(5Z,11Z,14Z)-icosatrienoic acid	epoxy(hydroxy)icosatrienoate	epoxy(hydroxy)icosatrienoic acid	$null$
20-hydroxy-8,9-epoxy-(5Z,11Z,14Z)-eicosatrienoate	a hydroxy polyunsaturated fatty acid	CHEBI:137474	CHEBI:138272	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	8,9-epoxy-20-hydroxy-(5Z,11Z,14Z)-icosatrienoate	8,9-epoxy-20-hydroxy-(5Z,11Z,14Z)-icosatrienoic acid	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
20-hydroxy-11,12-epoxy-(5Z,8Z,14Z)-eicosatrienoate	a long-chain fatty acid	CHEBI:137475	CHEBI:138273	CHEBI:57560	CHEBI:15904	left_incomplete	$null$	$null$	11,12-epoxy-20-hydroxy-(5Z,8Z,14Z)-icosatrienoate	11,12-epoxy-20-hydroxy-(5Z,8Z,14Z)-icosatrienoic acid	long-chain fatty acid anion	long-chain fatty acid	$null$
20-hydroxy-11,12-epoxy-(5Z,8Z,14Z)-eicosatrienoate	a hydroxy-epoxy-eicosatetraenoate	CHEBI:137475	CHEBI:138273	CHEBI:137328	CHEBI:138138	left_incomplete	$null$	$null$	11,12-epoxy-20-hydroxy-(5Z,8Z,14Z)-icosatrienoate	11,12-epoxy-20-hydroxy-(5Z,8Z,14Z)-icosatrienoic acid	epoxy(hydroxy)icosatrienoate	epoxy(hydroxy)icosatrienoic acid	$null$
20-hydroxy-11,12-epoxy-(5Z,8Z,14Z)-eicosatrienoate	a hydroxy polyunsaturated fatty acid	CHEBI:137475	CHEBI:138273	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	11,12-epoxy-20-hydroxy-(5Z,8Z,14Z)-icosatrienoate	11,12-epoxy-20-hydroxy-(5Z,8Z,14Z)-icosatrienoic acid	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
12-oxo-(5S)-hydroxy-(6Z,8E,14Z)-eicosatrienoate	a fatty acid	CHEBI:133319	CHEBI:134417	CHEBI:28868	CHEBI:35366	left_incomplete	$null$	$null$	10,11-dihydro-12-oxoleukotriene B4(1-)	10,11-dihydro-12-oxoleukotriene B4	fatty acid anion	fatty acid	$null$
12-oxo-(5S)-hydroxy-(6Z,8E,14Z)-eicosatrienoate	a monocarboxylate	CHEBI:133319	CHEBI:134417	CHEBI:35757	CHEBI:25384	left_incomplete	$null$	$null$	10,11-dihydro-12-oxoleukotriene B4(1-)	10,11-dihydro-12-oxoleukotriene B4	monocarboxylic acid anion	monocarboxylic acid	$null$
20-hydroxy-14,15-epoxy-(5Z,8Z,11Z)-eicosatrienoate	a hydroxy polyunsaturated fatty acid	CHEBI:137476	CHEBI:138274	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	14,15-epoxy-20-hydroxy-(5Z,8Z,11Z)-icosatrienoate	14,15-epoxy-20-hydroxy-(5Z,8Z,11Z)-icosatrienoic acid	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
7-oxoresolvin D2	a hydroxy polyunsaturated fatty acid	CHEBI:137497	CHEBI:138279	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	7-oxoresolvin D2(1-)	7-oxoresolvin D2	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
12-oxo-(5S)-hydroxy-(6Z,8E,14Z)-eicosatrienoate	a hydroxy polyunsaturated fatty acid	CHEBI:133319	CHEBI:134417	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	10,11-dihydro-12-oxoleukotriene B4(1-)	10,11-dihydro-12-oxoleukotriene B4	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
20-hydroxy-14,15-epoxy-(5Z,8Z,11Z)-eicosatrienoate	a long-chain fatty acid	CHEBI:137476	CHEBI:138274	CHEBI:57560	CHEBI:15904	left_incomplete	$null$	$null$	14,15-epoxy-20-hydroxy-(5Z,8Z,11Z)-icosatrienoate	14,15-epoxy-20-hydroxy-(5Z,8Z,11Z)-icosatrienoic acid	long-chain fatty acid anion	long-chain fatty acid	$null$
20-hydroxy-14,15-epoxy-(5Z,8Z,11Z)-eicosatrienoate	a hydroxy-epoxy-eicosatetraenoate	CHEBI:137476	CHEBI:138274	CHEBI:137328	CHEBI:138138	left_incomplete	$null$	$null$	14,15-epoxy-20-hydroxy-(5Z,8Z,11Z)-icosatrienoate	14,15-epoxy-20-hydroxy-(5Z,8Z,11Z)-icosatrienoic acid	epoxy(hydroxy)icosatrienoate	epoxy(hydroxy)icosatrienoic acid	$null$
12-oxo-(5S)-hydroxy-(6Z,8E,14Z)-eicosatrienoate	a long-chain fatty acid	CHEBI:133319	CHEBI:134417	CHEBI:57560	CHEBI:15904	left_incomplete	$null$	$null$	10,11-dihydro-12-oxoleukotriene B4(1-)	10,11-dihydro-12-oxoleukotriene B4	long-chain fatty acid anion	long-chain fatty acid	$null$
N(6)-methyl-dAMP residue	a deoxyribonucleotide residue	CHEBI:90616	CHEBI:139089	CHEBI:140284	CHEBI:55367	left_incomplete	$null$	$null$	N(6)-methyl-2'-deoxyadenosine 5'-monophosphate(1-) residue	N(6)-methyl-2'-deoxyadenosine 5'-monophosphate residue	deoxyribonucleotide residue(1-)	deoxyribonucleotide residue	$null$
N(6)-methyl-dAMP residue	purine residue	CHEBI:90616	CHEBI:139089	CHEBI:65261	CHEBI:65305	left_incomplete	$null$	$null$	N(6)-methyl-2'-deoxyadenosine 5'-monophosphate(1-) residue	N(6)-methyl-2'-deoxyadenosine 5'-monophosphate residue	purine deoxyribonucleotide(1-) residue	purine deoxyribonucleotide residue	$null$
10,11-dihydro-20-trihydroxy-leukotriene B4	a monocarboxylate	CHEBI:133323	CHEBI:134442	CHEBI:35757	CHEBI:25384	left_incomplete	$null$	$null$	10,11-dihydro-20,20,20-trihydroxyleukotriene B4(1-)	10,11-dihydro-20,20,20-trihydroxyleukotriene B4	monocarboxylic acid anion	monocarboxylic acid	$null$
10,11-dihydro-20-trihydroxy-leukotriene B4	a fatty acid	CHEBI:133323	CHEBI:134442	CHEBI:28868	CHEBI:35366	left_incomplete	$null$	$null$	10,11-dihydro-20,20,20-trihydroxyleukotriene B4(1-)	10,11-dihydro-20,20,20-trihydroxyleukotriene B4	fatty acid anion	fatty acid	$null$
10,11-dihydro-20-trihydroxy-leukotriene B4	a hydroxy polyunsaturated fatty acid	CHEBI:133323	CHEBI:134442	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	10,11-dihydro-20,20,20-trihydroxyleukotriene B4(1-)	10,11-dihydro-20,20,20-trihydroxyleukotriene B4	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
10,11-dihydro-20-trihydroxy-leukotriene B4	a long-chain fatty acid	CHEBI:133323	CHEBI:134442	CHEBI:57560	CHEBI:15904	left_incomplete	$null$	$null$	10,11-dihydro-20,20,20-trihydroxyleukotriene B4(1-)	10,11-dihydro-20,20,20-trihydroxyleukotriene B4	long-chain fatty acid anion	long-chain fatty acid	$null$
10,11-dihydro-leukotriene B4	a hydroxy polyunsaturated fatty acid	CHEBI:133324	CHEBI:134444	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	10,11-dihydroleukotriene B4(1-)	10,11-dihydroleukotriene B4	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
10,11-dihydro-leukotriene B4	a monocarboxylate	CHEBI:133324	CHEBI:134444	CHEBI:35757	CHEBI:25384	left_incomplete	$null$	$null$	10,11-dihydroleukotriene B4(1-)	10,11-dihydroleukotriene B4	monocarboxylic acid anion	monocarboxylic acid	$null$
10,11-dihydro-leukotriene B4	a long-chain fatty acid	CHEBI:133324	CHEBI:134444	CHEBI:57560	CHEBI:15904	left_incomplete	$null$	$null$	10,11-dihydroleukotriene B4(1-)	10,11-dihydroleukotriene B4	long-chain fatty acid anion	long-chain fatty acid	$null$
10,11-dihydro-leukotriene B4	a fatty acid	CHEBI:133324	CHEBI:134444	CHEBI:28868	CHEBI:35366	left_incomplete	$null$	$null$	10,11-dihydroleukotriene B4(1-)	10,11-dihydroleukotriene B4	fatty acid anion	fatty acid	$null$
4-oxohex-2-enedioate	oxo dicarboxylic acid	CHEBI:12040	CHEBI:19672	CHEBI:133294	CHEBI:36145	left_incomplete	$null$	$null$	4-oxohex-2-enedioate	4-oxohex-2-enedioic acid	oxo dicarboxylic acid dianion	oxo dicarboxylic acid	$null$
12-oxo-20-hydroxy-leukotriene B4	a fatty acid	CHEBI:133346	CHEBI:134456	CHEBI:28868	CHEBI:35366	left_incomplete	$null$	$null$	12-oxo-20-hydroxyleukotriene B4(1-)	12-oxo-20-hydroxyleukotriene B4	fatty acid anion	fatty acid	$null$
12-oxo-20-hydroxy-leukotriene B4	a monocarboxylate	CHEBI:133346	CHEBI:134456	CHEBI:35757	CHEBI:25384	left_incomplete	$null$	$null$	12-oxo-20-hydroxyleukotriene B4(1-)	12-oxo-20-hydroxyleukotriene B4	monocarboxylic acid anion	monocarboxylic acid	$null$
12-oxo-20-hydroxy-leukotriene B4	a hydroxy polyunsaturated fatty acid	CHEBI:133346	CHEBI:134456	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	12-oxo-20-hydroxyleukotriene B4(1-)	12-oxo-20-hydroxyleukotriene B4	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
12-oxo-20-hydroxy-leukotriene B4	a long-chain fatty acid	CHEBI:133346	CHEBI:134456	CHEBI:57560	CHEBI:15904	left_incomplete	$null$	$null$	12-oxo-20-hydroxyleukotriene B4(1-)	12-oxo-20-hydroxyleukotriene B4	long-chain fatty acid anion	long-chain fatty acid	$null$
14,15-epoxy-(5Z,8Z,11Z,17Z)-eicosatetraenoate	a fatty acid	CHEBI:136443	CHEBI:137269	CHEBI:28868	CHEBI:35366	left_incomplete	$null$	$null$	(5Z,8Z,11Z,17Z)-14,15-epoxyicosatetraenoate	(5Z,8Z,11Z,17Z)-14,15-epoxyicosatetraenoic acid	fatty acid anion	fatty acid	$null$
8-nitro-cGMP	a nucleoside 3',5'-cyclic phosphate	CHEBI:144462	CHEBI:136665	CHEBI:58464	CHEBI:18375	left_incomplete	$null$	$null$	8-nitroguanosine 3',5'-cyclic monophosphate(1-)	8-nitroguanosine 3',5'-cyclic monophosphate	nucleoside 3',5'-cyclic phosphate anion	nucleoside 3',5'-cyclic phosphate	$null$
mannosylinositol phosphophytoceramide	an inositol-1-phosphoceramide	CHEBI:64991	CHEBI:65000	CHEBI:64916	CHEBI:60245	left_incomplete	$null$	$null$	mannosylinositol phosphophytoceramide(1-)	mannosylinositol phosphophytoceramide	inositol phosphoceramide(1-)	inositol phosphoceramide	$null$
14,15-epoxy-(5Z,8Z,11Z,17Z)-eicosatetraenoate	a monocarboxylate	CHEBI:136443	CHEBI:137269	CHEBI:35757	CHEBI:25384	left_incomplete	$null$	$null$	(5Z,8Z,11Z,17Z)-14,15-epoxyicosatetraenoate	(5Z,8Z,11Z,17Z)-14,15-epoxyicosatetraenoic acid	monocarboxylic acid anion	monocarboxylic acid	$null$
14,15-epoxy-(5Z,8Z,11Z,17Z)-eicosatetraenoate	a long-chain fatty acid	CHEBI:136443	CHEBI:137269	CHEBI:57560	CHEBI:15904	left_incomplete	$null$	$null$	(5Z,8Z,11Z,17Z)-14,15-epoxyicosatetraenoate	(5Z,8Z,11Z,17Z)-14,15-epoxyicosatetraenoic acid	long-chain fatty acid anion	long-chain fatty acid	$null$
benzoyl-AMP	a nucleoside 5'-phosphate	CHEBI:149705	CHEBI:156046	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	benzoyl-AMP(1-)	benzoyl-AMP	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
benzoyl-AMP	a ribonucleoside 5'-phosphate	CHEBI:149705	CHEBI:156046	CHEBI:58043	CHEBI:17188	left_incomplete	$null$	$null$	benzoyl-AMP(1-)	benzoyl-AMP	nucleoside 5'-monophosphate(2-)	nucleoside 5'-monophosphate	$null$
(8S,9S)-dihydroxy-(5Z,11Z,14Z)-eicosatrienoate	a hydroxy polyunsaturated fatty acid	CHEBI:138002	CHEBI:138585	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	(5Z,8S,9S,11Z,14Z)-8,9-dihydroxyicosatrienoate	(5Z,8S,9S,11Z,14Z)-8,9-dihydroxyicosatrienoic acid	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
(8R,9R)-dihydroxy-(5Z,11Z,14Z)-eicosatrienoate	a hydroxy polyunsaturated fatty acid	CHEBI:138008	CHEBI:138586	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	(5Z,8R,9R,11Z,14Z)-8,9-dihydroxyicosatrienoate	(5Z,8R,9R,11Z,14Z)-8,9-dihydroxyicosatrienoic acid	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
a 7(1),7(1)-dihydroxybacteriochlorophyllide c	a chlorophyll	CHEBI:136513	CHEBI:137302	CHEBI:139291	CHEBI:28966	left_incomplete	$null$	$null$	7,7-dihydroxybacteriochlorophyllide c(1-)	7,7-dihydroxybacteriochlorophyllide c	chlorophyll(1-)	chlorophyll	$null$
a 7(1),7(1)-dihydroxybacteriochlorophyllide c	a chlorophyllide	CHEBI:136513	CHEBI:137302	CHEBI:139292	CHEBI:38206	left_incomplete	$null$	$null$	7,7-dihydroxybacteriochlorophyllide c(1-)	7,7-dihydroxybacteriochlorophyllide c	chlorophyllide(2-)	chlorophyllide	$null$
1-octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phospho-(1D-myo-inositol)	1-octadecanoyl-2-acyl-sn-glycero-3-phospho-(1D-myo-inositol)	CHEBI:133606	CHEBI:84153	CHEBI:83940	CHEBI:65090	left_incomplete	$null$	$null$	1-octadecanoyl-2-arachidonoyl-sn-glycero-3-phospho-D-myo-inositol(1-)	1-stearoyl-2-arachidonoyl-sn-glycero-3-phospho-1D-myo-inositol	1-stearoyl-2-acyl-sn-glycero-3-phospho-(1D-myo-inositol)(1-)	1-octadecanoyl-2-acyl-sn-glycero-3-phospho-1D-myo-inositol	$null$
2,4-didehydro-3-deoxy-L-rhamnonate	a monocarboxylate	CHEBI:131847	CHEBI:132125	CHEBI:35757	CHEBI:25384	left_incomplete	$null$	$null$	2,4-didehydro-3-deoxy-L-rhamnonate	2,4-didehydro-3-deoxy-L-rhamnonic acid	monocarboxylic acid anion	monocarboxylic acid	$null$
(14R,22)-dihydroxy-(4Z,7Z,10Z,12E,16Z,19Z)-docosahexaenoate	a long-chain fatty acid	CHEBI:136530	CHEBI:137350	CHEBI:57560	CHEBI:15904	left_incomplete	$null$	$null$	(4Z,7Z,10Z,12E,14R,16Z,19Z)-14,22-dihydroxydocosahexaenoate	(4Z,7Z,10Z,12E,14R,16Z,19Z)-14,22-dihydroxydocosahexaenoic acid	long-chain fatty acid anion	long-chain fatty acid	$null$
(14R,21S)-dihydroxy-(4Z,7Z,10Z,12E,16Z,19Z)-docosahexaenoate	a long-chain fatty acid	CHEBI:136536	CHEBI:137368	CHEBI:57560	CHEBI:15904	left_incomplete	$null$	$null$	(4Z,7Z,10Z,12E,14R,16Z,19Z,21S)-dihydroxydocosahexaenoate	(4Z,7Z,10Z,12E,14R,16Z,19Z,21S)-dihydroxydocosahexaenoic acid	long-chain fatty acid anion	long-chain fatty acid	$null$
3,5-dimethylorsellinate	an aromatic carboxylate	CHEBI:131856	CHEBI:132131	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	3,5-dimethylorsellinate	3,5-dimethylorsellinic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
6-(alpha-D-glucose-1-phospho)-alpha-D-mannosyl derivative	alpha-D-hexose 1-phosphate	CHEBI:138011	CHEBI:138657	CHEBI:57734	CHEBI:16326	left_incomplete	$null$	$null$	6-(alpha-D-glucose-1-phospho)-alpha-D-mannoside(1-)	6-(alpha-D-glucose-1-phospho)-alpha-D-mannoside	alpha-D-hexose 1-phosphate(2-)	alpha-D-hexose 1-phosphate	$null$
4-carboxyzymosterol	a monocarboxylate	CHEBI:64967	CHEBI:63844	CHEBI:35757	CHEBI:25384	left_incomplete	$null$	$null$	4-carboxyzymosterol(1-)	4-carboxyzymosterol	monocarboxylic acid anion	monocarboxylic acid	$null$
pyrimidine residue	a deoxyribonucleotide residue	CHEBI:65262	CHEBI:65306	CHEBI:140284	CHEBI:55367	left_incomplete	$null$	$null$	pyrimidine deoxyribonucleotide(1-) residue	pyrimidine deoxyribonucleotide residue	deoxyribonucleotide residue(1-)	deoxyribonucleotide residue	$null$
1-octadecanoyl-2-acyl-sn-glycero-3-phospho-1D-myo-inositol	1-octadecanoyl-2-acyl-sn-glycero-3-phospho-(1D-myo-inositol)	CHEBI:65055	CHEBI:65090	CHEBI:83940	CHEBI:65090	left_incomplete	$null$	$null$	1-octadecanoyl-2-acyl-sn-glycero-3-phospho-1D-myo-inositol(1-)	1-octadecanoyl-2-acyl-sn-glycero-3-phospho-1D-myo-inositol	1-stearoyl-2-acyl-sn-glycero-3-phospho-(1D-myo-inositol)(1-)	1-octadecanoyl-2-acyl-sn-glycero-3-phospho-1D-myo-inositol	$null$
(E)-4-hydroxynon-2-enoate	a medium chain fatty acid	CHEBI:142920	CHEBI:143086	CHEBI:59558	CHEBI:59554	left_incomplete	$null$	$null$	(E)-4-hydroxynon-2-enoate	(2E)-4-hydroxynon-2-enoic acid	medium-chain fatty acid anion	medium-chain fatty acid	$null$
2-hydroxydecanoyl-CoA	a medium-chain fatty acyl-CoA	CHEBI:138292	CHEBI:138959	CHEBI:90546	CHEBI:61907	left_incomplete	$null$	$null$	2-hydroxydecanoyl-CoA(4-)	2-hydroxydecanoyl-CoA	medium-chain fatty acyl-CoA(4-)	medium-chain fatty acyl-CoA	$null$
(R)-2-hydroxyglutaryl-CoA	an acyl-CoA	CHEBI:132946	CHEBI:134246	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	(R)-2-hydroxyglutaryl-CoA(5-)	(R)-2-hydroxyglutaryl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
(15S)-hydroperoxy-(11Z,13E)-eicosadienoate	a long-chain fatty acid	CHEBI:144832	CHEBI:144843	CHEBI:57560	CHEBI:15904	left_incomplete	$null$	$null$	(15S)-hydroperoxy-(11Z,13E)-icosadienoate	(15S)-hydroperoxy-(11Z,13E)-icosadienoic acid	long-chain fatty acid anion	long-chain fatty acid	$null$
(15S)-hydroperoxy-(8Z,11Z,13E)-eicosatrienoate	a long-chain fatty acid	CHEBI:144787	CHEBI:144863	CHEBI:57560	CHEBI:15904	left_incomplete	$null$	$null$	(8Z,11Z,13E,15S)-15-hydroperoxyicosa-8,11,13-trienoate	(8Z,11Z,13E,15S)-15-hydroperoxyicosa-8,11,13-trienoic acid	long-chain fatty acid anion	long-chain fatty acid	$null$
maleamate	a monoamide of a dicarboxylate	CHEBI:16146	CHEBI:29045	CHEBI:77450	CHEBI:35735	left_incomplete	$null$	$null$	maleamate	maleamic acid	dicarboxylic acid monoamide(1-)	dicarboxylic acid monoamide	$null$
1D-myo-inositol 1,2,4,5,6-pentakisphosphate	a myo-inositol phosphate	CHEBI:57798	CHEBI:16507	CHEBI:84139	CHEBI:25448	left_incomplete	$null$	$null$	1D-myo-inositol 1,2,4,5,6-pentakisphosphate(10-)	1D-myo-inositol 1,2,4,5,6-pentakisphosphate	myo-inositol phosphate(2-)	myo-inositol phosphate	$null$
4alpha-carboxy-4beta,14alpha-dimethyl-9beta,19-cyclo-5alpha-cholest-24-en-3beta-ol	a monocarboxylate	CHEBI:142846	CHEBI:145728	CHEBI:35757	CHEBI:25384	left_incomplete	$null$	$null$	3beta-hydroxy-9beta-9,19-cyclolanost-24-en-28-oate	3beta-hydroxy-9beta-9,19-cyclolanost-24-en-28-oic acid	monocarboxylic acid anion	monocarboxylic acid	$null$
18-HEPE	a hydroxy polyunsaturated fatty acid	CHEBI:90825	CHEBI:72802	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	18-HEPE(1-)	18-HEPE	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
(18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoate	18-HEPE	CHEBI:90818	CHEBI:81563	CHEBI:90825	CHEBI:72802	left_incomplete	$null$	$null$	18(R)-HEPE(1-)	18(R)-HEPE	18-HEPE(1-)	18-HEPE	$null$
UMP	a nucleoside 5'-phosphate	CHEBI:57865	CHEBI:16695	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	uridine 5'-monophosphate(2-)	uridine 5'-monophosphate	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
alpha-D-mannuronate	D-mannuronate	CHEBI:157625	CHEBI:16224	CHEBI:30624	CHEBI:16224	left_incomplete	$null$	$null$	alpha-D-mannopyranuronate	alpha-D-mannopyranuronic acid	D-mannuronate	alpha-D-mannopyranuronic acid	$null$
alpha-D-mannuronate	D-mannonate	CHEBI:157625	CHEBI:16224	CHEBI:17767	CHEBI:33076	left_incomplete	$null$	$null$	alpha-D-mannopyranuronate	alpha-D-mannopyranuronic acid	D-mannonate	D-mannonic acid	$null$
(2Z,6E)-farnesyl diphosphate	a polyprenol phosphate	CHEBI:162247	CHEBI:19515	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	2-cis,6-trans-farnesyl diphosphate(3-)	2-cis,6-trans-farnesyl diphosphate	polyprenol phosphate anion	polyprenol phosphate	$null$
a 2'-deoxyribonucleoside 5'-triphosphate	a nucleoside 5'-phosphate	CHEBI:61560	CHEBI:16381	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	2'-deoxyribonucleoside 5'-triphosphate(4-)	2'-deoxyribonucleoside 5'-triphosphate	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
CMP	a nucleoside 5'-phosphate	CHEBI:60377	CHEBI:17361	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	cytidine 5'-monophosphate(2-)	cytidine 5'-monophosphate	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
N-acetyl-D-tryptophan	an N-acetyl-D-amino acid	CHEBI:57877	CHEBI:16734	CHEBI:58496	CHEBI:21501	left_incomplete	$null$	$null$	N-acetyl-D-tryptophanate	N-acetyl-D-tryptophan	N-acetyl-D-amino acid anion	N-acetyl-D-amino acid	$null$
4-hydroxy-3-all-trans-octaprenylbenzoate	an aromatic carboxylate	CHEBI:1617	CHEBI:50116	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	4-hydroxy-3-octaprenylbenzoate	4-hydroxy-3-octaprenylbenzoic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
N-acetyl-beta-neuraminate	an N-acylneuraminate	CHEBI:58705	CHEBI:45744	CHEBI:60073	CHEBI:16498	left_incomplete	$null$	$null$	N-acetyl-beta-neuraminate	N-acetyl-beta-neuraminic acid	N-acylneuraminate	N-acylneuraminic acid	$null$
N-acetyl-beta-neuraminate	N-acetylneuraminate	CHEBI:58705	CHEBI:45744	CHEBI:35418	CHEBI:17012	left_incomplete	$null$	$null$	N-acetyl-beta-neuraminate	N-acetyl-beta-neuraminic acid	N-acetylneuraminate	N-acetylneuraminic acid	$null$
a 7(1)-hydroxybacteriochlorophyllide d	a chlorophyll	CHEBI:139240	CHEBI:139553	CHEBI:139291	CHEBI:28966	left_incomplete	$null$	$null$	7(1)-hydroxybacteriochlorophyllide d(1-)	7(1)-hydroxybacteriochlorophyllide d	chlorophyll(1-)	chlorophyll	$null$
a 7(1)-hydroxybacteriochlorophyllide d	a chlorophyllide	CHEBI:139240	CHEBI:139553	CHEBI:139292	CHEBI:38206	left_incomplete	$null$	$null$	7(1)-hydroxybacteriochlorophyllide d(1-)	7(1)-hydroxybacteriochlorophyllide d	chlorophyllide(2-)	chlorophyllide	$null$
dolichyl beta-D-mannosyl phosphate	a polyprenol phosphate	CHEBI:58211	CHEBI:17624	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	dolichyl beta-D-mannosyl phosphate(1-)	dolichyl beta-D-mannosyl phosphate	polyprenol phosphate anion	polyprenol phosphate	$null$
(12S)-hydroxy-(5Z,8Z,10E,14Z)-eicosatetraenoate	12-hydroxy-(5Z,8Z,10E,14Z)-eicosatetraenoate	CHEBI:90680	CHEBI:34146	CHEBI:90718	CHEBI:84447	left_incomplete	$null$	$null$	12(S)-HETE(1-)	12(S)-HETE	12-HETE(1-)	(5Z,8Z,10E,14Z)-12-hydroxyicosatetraenoic acid	$null$
